scenario,year,total_production_Mt,ets_cost_USD,estimated_capex_USD,estimated_opex_USD,total_estimated_annual_cost_USD,ets_cost_share_pct
NGFS_NetZero2050,2041,36.9172449589694,0.0,18458622479.4847,11075173487.690819,29533795967.175518,0.0
NGFS_NetZero2050,2042,36.7326587341746,0.0,18366329367.0873,11019797620.25238,29386126987.33968,0.0
NGFS_NetZero2050,2043,36.5489954405037,0.0,18274497720.251854,10964698632.15111,29239196352.40296,0.0
NGFS_NetZero2050,2044,36.36625046330122,114885350.25571981,18183125231.65061,10909875138.990366,29207885720.896698,0.3933367562223972
NGFS_NetZero2050,2045,36.18441921098469,0.0,18092209605.492348,10855325763.295408,28947535368.787758,0.0
NGFS_NetZero2050,2046,36.00349711492974,0.0,18001748557.46487,10801049134.478922,28802797691.943794,0.0
NGFS_NetZero2050,2047,35.823479629355134,0.0,17911739814.677567,10747043888.80654,28658783703.484108,0.0
NGFS_NetZero2050,2048,35.644362231208405,0.0,17822181115.604202,10693308669.36252,28515489784.96672,0.0
NGFS_NetZero2050,2049,35.46614042005229,0.0,17733070210.026146,10639842126.015686,28372912336.041832,0.0
NGFS_NetZero2050,2050,35.28880971795205,502425183.4646895,17644404858.976025,10586642915.385614,28733472957.826332,1.7485710279510105
NGFS_Below2C,2025,40.0,180900000.0000003,20000000000.0,12000000000.0,32180900000.0,0.5621346823737071
NGFS_Below2C,2026,39.8,404400000.0,19900000000.0,11940000000.0,32244400000.0,1.2541712669486793
NGFS_Below2C,2027,39.601,709605000.0,19800500000.0,11880300000.0,32390405000.0,2.190787673077876
NGFS_Below2C,2028,39.402995,1096577370.0,19701497499.999996,11820898500.0,32618973369.999996,3.3617776916563944
NGFS_Below2C,2029,39.205980024999995,1565379063.675,19602990012.5,11761794007.499998,32930163083.674995,4.753632891818355
NGFS_Below2C,2030,39.009950124875,2116071620.9789996,19504975062.437496,11702985037.462498,33324031720.878994,6.349986816430697
NGFS_Below2C,2031,38.8149003742506,2423633589.1615143,19407450187.125298,11644470112.275179,33475553888.56199,7.240010418437401
NGFS_Below2C,2032,38.6208258723794,2748838495.871683,19310412936.1897,11586247761.71382,33645499193.775208,8.170003601492851
NGFS_Below2C,2033,38.4277217430175,3091734428.6750174,19213860871.50875,11528316522.90525,33833911823.08902,9.13797507317835
NGFS_Below2C,2034,38.235583134302395,3452369153.18792,19117791567.1512,11470674940.290718,34040835660.629837,10.141846068663883
NGFS_Below2C,2035,38.0444052186309,266790115.0949796,19022202609.31545,11413321565.58927,30702314289.999695,0.8689576706661426
NGFS_Below2C,2036,37.854183192537704,45284442.154139265,18927091596.268852,11356254957.761312,30328630996.184303,0.14931251647935107
NGFS_Below2C,2037,37.664912276575,198058946.18982816,18832456138.2875,11299473682.9725,30329988767.449825,0.6530135823933612
