scenario,year,emission_intensity_tCO2_per_t,production_Mt
NGFS_NetZero2050,2025,2025750.0000000005,40.0
NGFS_NetZero2050,2026,2025376.8844221106,39.8
NGFS_NetZero2050,2027,2025001.8938915688,39.601
NGFS_NetZero2050,2028,1723125.0949325045,39.402995
NGFS_NetZero2050,2029,1721231.251188447,39.205980025
NGFS_NetZero2050,2030,1719327.890641655,39.009950124875
NGFS_NetZero2050,2031,1327873.8394010728,38.81490037425063
NGFS_NetZero2050,2032,1281691.907976544,38.62082587237937
NGFS_NetZero2050,2033,1249711.2664219476,38.42772174301747
NGFS_NetZero2050,2034,1238498.8196911104,38.23558313430239
NGFS_NetZero2050,2035,1234169.6680312713,38.04440521863087
NGFS_NetZero2050,2036,1229818.7618404734,37.85418319253772
NGFS_NetZero2050,2037,1115096.1853194358,37.66491227657503
NGFS_NetZero2050,2038,1080674.6950331915,37.47658771519214
NGFS_NetZero2050,2039,1045879.1018374435,37.289204776616266
NGFS_NetZero2050,2040,1010706.5151115647,37.10275875273312
NGFS_NetZero2050,2041,1002951.7222909599,36.91724495896945
NGFS_NetZero2050,2042,997438.9168753362,36.7326587341746
NGFS_NetZero2050,2043,902897.5927318995,36.54899544050372
NGFS_NetZero2050,2044,866187.7317208714,36.36625046330121
NGFS_NetZero2050,2045,829086.1275145895,36.1844192109847
NGFS_NetZero2050,2046,791589.7699888087,36.00349711492978
NGFS_NetZero2050,2047,758421.7809869464,35.82347962935513
NGFS_NetZero2050,2048,715400.6525518206,35.64436223120835
NGFS_NetZero2050,2049,676701.7700756231,35.46614042005231
NGFS_NetZero2050,2050,653932.5239966804,35.28880971795205
NGFS_Below2C,2025,2025750.0000000005,40.0
NGFS_Below2C,2026,2025376.8844221106,39.8
NGFS_Below2C,2027,2025001.8938915688,39.601
NGFS_Below2C,2028,2024625.0189865013,39.402995
NGFS_Below2C,2029,2024246.2502376898,39.205980025
NGFS_Below2C,2030,2023865.5781283313,39.009950124875
NGFS_Below2C,2031,2023482.9930938,38.81490037425063
NGFS_Below2C,2032,2023098.4855214076,38.62082587237937
NGFS_Below2C,2033,2022712.0457501581,38.42772174301747
NGFS_Below2C,2034,2022323.6640705108,38.23558313430239
NGFS_Below2C,2035,1631599.984344786,38.04440521863087
NGFS_Below2C,2036,1629246.2154218957,37.85418319253772
NGFS_Below2C,2037,1626880.618514468,37.66491227657503
NGFS_Below2C,2038,1624503.1341853947,37.47658771519215
NGFS_Below2C,2039,1622113.7026988894,37.2892047766162
NGFS_Below2C,2040,1619712.2640189845,37.10275875273312
NGFS_Below2C,2041,1617298.7578080245,36.91724495896945
NGFS_Below2C,2042,1554977.7267117237,36.7326587341746
NGFS_Below2C,2043,1546614.0437474698,36.54899544050372
NGFS_Below2C,2044,1538184.4523633295,36.36625046330121
NGFS_Below2C,2045,1529688.5013619035,36.1844192109847
NGFS_Below2C,2046,1522556.0941029007,36.00349711492978
NGFS_Below2C,2047,1519654.3659325633,35.82347962935513
NGFS_Below2C,2048,1516738.0562136315,35.64436223120835
NGFS_Below2C,2049,1513807.0916719916,35.46614042005231
NGFS_Below2C,2050,1510861.398665318,35.28880971795205
NGFS_NDCs,2025,2083500.0,40.0
NGFS_NDCs,2026,2091708.542713568,39.8
NGFS_NDCs,2027,2025001.8938915688,39.601
NGFS_NDCs,2028,2024625.0189865013,39.402995
NGFS_NDCs,2029,2024246.2502376898,39.205980025
NGFS_NDCs,2030,2023865.5781283313,39.009950124875
NGFS_NDCs,2031,2023482.9930938,38.81490037425063
NGFS_NDCs,2032,2023098.4855214076,38.62082587237937
NGFS_NDCs,2033,2022712.0457501581,38.42772174301747
NGFS_NDCs,2034,2022323.6640705108,38.23558313430239
NGFS_NDCs,2035,2021933.3307241313,38.04440521863087
NGFS_NDCs,2036,2021541.0359036494,37.85418319253772
NGFS_NDCs,2037,2021146.7697524114,37.66491227657503
NGFS_NDCs,2038,2020750.5223642327,37.47658771519215
NGFS_NDCs,2039,2020352.2837831485,37.2892047766162
NGFS_NDCs,2040,2019952.0440031646,37.10275875273312
NGFS_NDCs,2041,2019549.7929680042,36.91724495896945
NGFS_NDCs,2042,2019145.5205708584,36.7326587341746
NGFS_NDCs,2043,2018739.2166541293,36.54899544050372
NGFS_NDCs,2044,2018330.8710091752,36.36625046330121
NGFS_NDCs,2045,2017920.4733760555,36.1844192109847
NGFS_NDCs,2046,2017508.0134432716,36.00349711492978
NGFS_NDCs,2047,2017093.4808475093,35.82347962935513
NGFS_NDCs,2048,2016676.8651733764,35.64436223120835
NGFS_NDCs,2049,2016258.155953142,35.46614042005231
NGFS_NDCs,2050,2015837.3426664746,35.28880971795205
