scenario,year,carbon_price_USD_tCO2,free_allocation_MtCO2,scope1_emissions_MtCO2,net_emissions_MtCO2,ets_cost_million_USD,marginal_carbon_cost_USD_tCO2,effective_carbon_price_USD_tCO2
NGFS_NetZero2050,2025,50,75.0,81.03000000000002,6.030000000000015,301.50000000000034,49.999999999999936,50
NGFS_NetZero2050,2026,70,70.5,80.61,10.11,707.7,70.0,70
NGFS_NetZero2050,2027,90,66.0,80.19210000000001,14.19210000000001,1277.2890000000007,89.99999999999999,90
NGFS_NetZero2050,2028,110,61.49999999999999,67.8962895,6.396289500000002,703.5918450000003,110.0,110
NGFS_NetZero2050,2029,130,57.0,67.48255805250001,10.48255805250001,1362.732546825001,129.99999999999994,130
NGFS_NetZero2050,2030,150,52.5,67.0708952622375,14.5708952622375,2185.6342893356236,149.99999999999991,150
NGFS_NetZero2050,2031,165,51.00000000000001,51.541290785926314,0.5412907859263072,89.3129796778407,165.0,165
NGFS_NetZero2050,2032,180,49.5,49.499999999999794,0.0,-3.7631321946173055e-11,0.0,0
NGFS_NetZero2050,2033,195,48.0,48.023556805176575,0.023556805176575324,4.593577009430803,194.9999999999412,195
NGFS_NetZero2050,2034,210,46.5,47.354724582034834,0.8547245820348337,179.49216222731474,209.9999999999996,210
NGFS_NetZero2050,2035,225,45.0,46.95325095912483,1.95325095912483,439.4814658030448,224.99999999997854,225
NGFS_NetZero2050,2036,240,43.5,46.553784704329196,3.053784704329196,732.9083290390072,240.00000000000003,240
NGFS_NetZero2050,2037,255,42.00000000000001,42.00000000000001,0.0,0.0,0.0,0
NGFS_NetZero2050,2038,270,40.5,40.49999999999991,0.0,-2.3978407441890193e-11,0.0,0
NGFS_NetZero2050,2039,285,39.0,38.999999999999936,0.0,-2.6310341762211586e-11,0.0,0
NGFS_NetZero2050,2040,300,37.5,37.5,0.0,0.0,0.0,0
NGFS_NetZero2050,2041,315,36.0,37.02621441383566,1.0262144138356604,323.25754035823263,314.9999999999996,315
NGFS_NetZero2050,2042,330,34.5,36.63858334176647,2.13858334176647,705.7325027829341,329.99999999999955,330
NGFS_NetZero2050,2043,345,33.0,32.99999999999998,0.0,-6.035634076853925e-12,0.0,0
NGFS_NetZero2050,2044,360,31.5,31.499999999999964,0.0,-1.3069073660577215e-11,0.0,0
NGFS_NetZero2050,2045,375,30.0,29.999999999999822,0.0,-6.578130518790815e-11,0.0,0
NGFS_NetZero2050,2046,390,28.5,28.5,0.0,0.0,0.0,0
NGFS_NetZero2050,2047,405,27.0,27.169307221645113,0.1693072216451128,68.56942476627064,404.9999999999998,405
NGFS_NetZero2050,2048,420,25.500000000000004,25.499999999999922,0.0,-3.390112327483923e-11,0.0,0
NGFS_NetZero2050,2049,435,24.0,24.0,0.0,0.0,0.0,0
NGFS_NetZero2050,2050,450,22.5,23.076500407698965,0.5765004076989655,259.4251834645336,449.99999999999847,450
NGFS_Below2C,2025,30,75.0,81.03000000000002,6.030000000000015,180.9000000000001,29.99999999999994,30
NGFS_Below2C,2026,40,70.5,80.61,10.11,404.39999999999975,39.99999999999998,40
NGFS_Below2C,2027,50,66.0,80.19210000000001,14.19210000000001,709.6050000000001,49.99999999999997,50
NGFS_Below2C,2028,60,61.49999999999999,79.7762895,18.27628950000001,1096.5773700000002,59.99999999999998,60
NGFS_Below2C,2029,70,57.0,79.36255805250002,22.36255805250002,1565.3790636750007,69.99999999999997,70
NGFS_Below2C,2030,80,52.5,78.95089526223751,26.45089526223751,2116.071620979,79.99999999999996,80
NGFS_Below2C,2031,88,51.00000000000001,78.54129078592632,27.541290785926314,2423.6335891615154,87.99999999999999,88
NGFS_Below2C,2032,96,49.5,78.13373433199669,28.633734331996692,2748.838495871681,95.99999999999996,96
NGFS_Below2C,2033,104,48.0,77.7282156603367,29.7282156603367,3091.7344286750163,103.99999999999997,104
NGFS_Below2C,2034,112,46.5,77.32472458203503,30.82472458203503,3452.369153187922,111.99999999999996,112
NGFS_Below2C,2035,120,45.0,62.07325095912483,17.073250959124827,2048.7901150949792,120.0,120
NGFS_Below2C,2036,128,43.5,61.67378470432921,18.173784704329208,2326.2444421541386,128.0,128
NGFS_Below2C,2037,136,42.00000000000001,61.276315780807565,19.276315780807558,2621.578946189828,136.0,136
NGFS_Below2C,2038,144,40.5,60.88083420190352,20.380834201903518,2934.8401250741067,144.0,144
NGFS_Below2C,2039,152,39.0,60.48733003089402,21.48733003089402,3266.0741646958913,152.0,152
NGFS_Below2C,2040,160,37.5,60.09579338073956,22.595793380739558,3615.3269409183295,160.0,160
NGFS_Below2C,2041,168,36.0,59.70621441383584,23.706214413835838,3982.6440215244206,168.0,168
NGFS_Below2C,2042,176,34.5,57.11846617454436,22.61846617454436,3980.850046719808,176.0,176
NGFS_Below2C,2043,184,33.0,56.52718963314529,23.52718963314529,4329.002892498735,184.00000000000003,184
NGFS_Below2C,2044,192,31.5,55.938001053400654,24.438001053400654,4692.096202252926,192.0,192
NGFS_Below2C,2045,200,30.0,55.35088999550206,25.350889995502058,5070.1779991004105,199.99999999999994,200
NGFS_Below2C,2046,208,28.5,54.81734394135253,26.317343941352533,5474.007539801328,208.00000000000006,208
NGFS_Below2C,2047,216,27.0,54.43930722164577,27.43930722164577,5926.890359875485,215.99999999999997,216
NGFS_Below2C,2048,224,25.500000000000004,54.06316068553753,28.56316068553753,6398.147993560407,224.0,224
NGFS_Below2C,2049,232,24.0,53.68889488210986,29.688894882109857,6887.823612649487,231.99999999999997,232
NGFS_Below2C,2050,240,22.5,53.3165004076993,30.8165004076993,7395.960097847832,239.99999999999997,240
NGFS_NDCs,2025,15,75.0,83.34,8.340000000000003,125.1000000000001,15.000000000000004,15
