scenario,status,npv_total_billion_usd,ets_cost_total_billion_usd,ets_share_of_npv_percent,hotmetal_production_2025_Mt,hotmetal_production_2050_Mt,eaf_production_2025_Mt,eaf_production_2050_Mt,hotmetal_share_2050_percent,eaf_share_2050_percent,scope1_emissions_2025_MtCO2,scope1_emissions_2050_MtCO2,emissions_reduction_percent,cumulative_emissions_MtCO2,runtime_seconds
NGFS_Below2C,SUCCESS,414.196,88.74,21.425,38.2,22.69,1.8,12.6,64.3,35.7,81.03,53.32,34.2,1713.1,
NGFS_NDCs,SUCCESS,381.575,59.727,15.653,39.6,33.49,0.4,1.8,94.9,5.1,83.34,71.14,14.6,1980.54,
NGFS_NetZero2050,SUCCESS,425.579,9.341,2.195,38.2,22.69,1.8,12.6,64.3,35.7,81.03,23.08,71.5,1189.62,
NGFS_NetZero2050_NoCCUS,SUCCESS,443.5472260993634,43.13479735603525,9.724961586474267,38.2,10.224473898789098,1.8,25.06433581916295,28.973700106376004,71.02629989362399,81.03000000000002,28.970346306080433,64.24738207320692,1323.883626944485,0.0
NGFS_Below2C_NoCCUS,SUCCESS,414.19590533875373,88.73996422150827,21.424635801006172,38.2,22.688809717952047,1.8000000000000003,12.6,64.2946302221405,35.70536977785951,81.03000000000002,53.3165004076993,34.2015297942746,1713.1030856416041,0.0
NGFS_NDCs_NoCCUS,SUCCESS,381.57540686221245,59.7265303333807,15.652615252258133,39.6,33.48880971795205,0.3999999999999986,1.8,94.89923288887722,5.100767111122787,83.34,71.13650040769932,14.643028068515344,1980.5364188678368,0.0
