scenario,year,total_production_Mt,ets_cost_USD,estimated_capex_USD,estimated_opex_USD,total_estimated_annual_cost_USD,ets_cost_share_pct
NGFS_Below2C,2032,38.62082587237937,2748838495.8716817,19310412936.189686,11586247761.713812,33645499193.775177,8.170003601492857
NGFS_Below2C,2033,38.42772174301747,3091734428.6750174,19213860871.508736,11528316522.905241,33833911823.088997,9.137975073178357
NGFS_Below2C,2034,38.23558313430239,3452369153.1879225,19117791567.151196,11470674940.290718,34040835660.629837,10.14184606866389
NGFS_Below2C,2035,38.04440521863087,2048790115.094979,19022202609.315434,11413321565.589262,32484314289.999672,6.307013584478528
NGFS_Below2C,2036,37.85418319253772,2326244442.1541386,18927091596.26886,11356254957.761316,32609590996.18431,7.133620419913686
NGFS_Below2C,2037,37.66491227657503,2249899610.912295,18832456138.287514,11299473682.97251,32381829432.172318,6.948031196399769
NGFS_Below2C,2038,37.47658771519215,2507160125.0741057,18738293857.596077,11242976314.557646,32488430297.22783,7.717086058442277
NGFS_Below2C,2039,37.2892047766162,2814634164.695891,18644602388.3081,11186761432.98486,32645997985.988853,8.62168209991279
NGFS_Below2C,2040,37.10275875273312,3140126940.918329,18551379376.36656,11130827625.819937,32822333943.104828,9.567043423424778
NGFS_Below2C,2041,36.91724495896945,3483684021.5244203,18458622479.484726,11075173487.690834,33017479988.69998,10.55102940235502
NGFS_Below2C,2042,36.7326587341746,3400050046.7198057,18366329367.0873,11019797620.25238,32786177034.059486,10.37037664741366
NGFS_Below2C,2043,36.54899544050372,3678691838.210637,18274497720.251858,10964698632.151115,32917888190.61361,11.175357960112397
NGFS_Below2C,2044,36.36625046330121,4052952186.80305,18183125231.650608,10909875138.990364,33145952557.444023,12.22759303652242
NGFS_Below2C,2045,36.1844192109847,4445456068.613574,18092209605.492348,10855325763.29541,33392991437.401333,13.312542175046065
NGFS_Below2C,2046,36.00349711492978,4856247539.801328,18001748557.46489,10801049134.478933,33659045231.745148,14.427763789393563
NGFS_Below2C,2047,35.82347962935513,5285370359.875486,17911739814.677563,10747043888.806538,33944154063.359585,15.570782379816869
NGFS_Below2C,2048,35.64436223120835,5732867993.560407,17822181115.60417,10693308669.362505,34248357778.527084,16.7391033188598
NGFS_Below2C,2049,35.46614042005231,6198783612.6494875,17733070210.026154,10639842126.015694,34571695948.69133,17.930227148385338
