scenario,year,technology,production_Mt,market_share_pct
NGFS_NetZero2050,2038,BF-BOF+CCUS,9.0,24.014993222959852
NGFS_NetZero2050,2038,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2038,Scrap-EAF,12.600000000001053,33.620990512146605
NGFS_NetZero2050,2038,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2038,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2038,HyREX,0.0,0.0
NGFS_NetZero2050,2039,BF-BOF,13.712035060922478,36.7721305484133
NGFS_NetZero2050,2039,BF-BOF+CCUS,13.500000000001181,36.203507371299416
NGFS_NetZero2050,2039,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2039,Scrap-EAF,10.077169715692541,27.02436208028728
NGFS_NetZero2050,2039,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2039,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2039,HyREX,0.0,0.0
NGFS_NetZero2050,2040,BF-BOF,12.85379306743642,34.64376639241028
NGFS_NetZero2050,2040,BF-BOF+CCUS,13.499999999999742,36.38543454401563
NGFS_NetZero2050,2040,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2040,Scrap-EAF,10.748965685296959,28.97079906357408
NGFS_NetZero2050,2040,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2040,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2040,HyREX,0.0,0.0
NGFS_NetZero2050,2041,BF-BOF,11.995296829371968,32.49239438832387
NGFS_NetZero2050,2041,BF-BOF+CCUS,13.499999999999742,36.56827592363381
NGFS_NetZero2050,2041,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2041,Scrap-EAF,11.42194812959774,30.939329688042317
NGFS_NetZero2050,2041,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2041,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2041,HyREX,0.0,0.0
NGFS_NetZero2050,2042,BF-BOF,11.13654761795238,30.317837046713365
NGFS_NetZero2050,2042,BF-BOF+CCUS,13.499999999999742,36.75203610415459
NGFS_NetZero2050,2042,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2042,Scrap-EAF,12.09611111622248,32.93012684913205
NGFS_NetZero2050,2042,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2042,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2042,HyREX,0.0,0.0
NGFS_NetZero2050,2043,BF-BOF,10.448995440503234,28.589008574839305
NGFS_NetZero2050,2043,BF-BOF+CCUS,13.499999999999742,36.936719702667936
NGFS_NetZero2050,2043,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2043,Scrap-EAF,12.600000000000739,34.47427172249276
NGFS_NetZero2050,2043,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2043,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2043,HyREX,0.0,0.0
NGFS_NetZero2050,2044,BF-BOF,9.418295328190577,25.898450371437093
NGFS_NetZero2050,2044,BF-BOF+CCUS,13.499999999999742,37.12233135946525
NGFS_NetZero2050,2044,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2044,Scrap-EAF,13.447955135110892,36.97921826909765
NGFS_NetZero2050,2044,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2044,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2044,HyREX,0.0,0.0
NGFS_NetZero2050,2045,BF-BOF,8.558794760640534,23.653260014305534
NGFS_NetZero2050,2045,BF-BOF+CCUS,13.499999999999742,37.30887573815603
NGFS_NetZero2050,2045,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2045,Scrap-EAF,14.125624450344421,39.03786424753842
NGFS_NetZero2050,2045,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2045,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2045,HyREX,0.0,0.0
NGFS_NetZero2050,2046,BF-BOF,8.10349711492961,22.507527780042473
NGFS_NetZero2050,2046,BF-BOF+CCUS,13.499999999999742,37.49635752578496
NGFS_NetZero2050,2046,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2046,Scrap-EAF,14.400000000000427,39.99611469417257
NGFS_NetZero2050,2046,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2046,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2046,HyREX,0.0,0.0
NGFS_NetZero2050,2047,BF-BOF,6.839051010176114,19.09097352053968
NGFS_NetZero2050,2047,BF-BOF+CCUS,13.499999999999742,37.68478143294971
NGFS_NetZero2050,2047,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2047,Scrap-EAF,15.484428619179269,43.2242450465106
NGFS_NetZero2050,2047,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2047,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2047,HyREX,0.0,0.0
NGFS_NetZero2050,2048,BF-BOF,6.0016635187042215,16.8376235203038
NGFS_NetZero2050,2048,BF-BOF+CCUS,13.499999999999742,37.87415219391931
NGFS_NetZero2050,2048,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2048,Scrap-EAF,16.142698712504384,45.28822428577689
