scenario,status,npv_total_billion_usd,ets_cost_total_billion_usd,ets_share_of_npv_percent,hotmetal_production_2025_Mt,hotmetal_production_2050_Mt,eaf_production_2025_Mt,eaf_production_2050_Mt,hotmetal_share_2050_percent,eaf_share_2050_percent,scope1_emissions_2025_MtCO2,scope1_emissions_2050_MtCO2,emissions_reduction_percent,cumulative_emissions_MtCO2,runtime_seconds
NGFS_NetZero2050,SUCCESS,185.92733590708966,2.77875,1.4945354788435081,23.8,11.6,16.2,23.4,33.14285714285714,66.85714285714285,49.980000000000004,24.36,51.26050420168068,613.62,0.4178652763366699
NGFS_Below2C,SUCCESS,185.0701886640766,9.1236,4.9298053164901505,23.8,18.8,16.2,16.2,53.714285714285715,46.285714285714285,49.980000000000004,39.480000000000004,21.008403361344534,651.4200000000001,0.09191417694091797
NGFS_NDCs,SUCCESS,182.67599310160134,6.93795,3.7979538976099763,27.4,22.4,12.6,12.6,64.0,36.0,57.54,47.04,18.248175182481752,757.26,0.0930020809173584
