scenario,year,technology,production_Mt,market_share_pct
NGFS_NetZero2050,2038,BF-BOF,14.570021532221174,38.87766315051897
NGFS_NetZero2050,2038,BF-BOF+CCUS,13.499999999999638,36.02248983443882
NGFS_NetZero2050,2038,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2038,Scrap-EAF,9.406566182971327,25.099847015042204
NGFS_NetZero2050,2038,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2038,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2038,HyREX,0.0,0.0
NGFS_NetZero2050,2039,BF-BOF,13.71203506092286,36.77213054841421
NGFS_NetZero2050,2039,BF-BOF+CCUS,13.500000000000313,36.20350737129698
NGFS_NetZero2050,2039,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2039,Scrap-EAF,10.077169715693145,27.024362080288817
NGFS_NetZero2050,2039,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2039,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2039,HyREX,0.0,0.0
NGFS_NetZero2050,2040,BF-BOF,12.853793067436424,34.643766392410285
NGFS_NetZero2050,2040,BF-BOF+CCUS,13.500000000000313,36.38543454401717
NGFS_NetZero2050,2040,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2040,Scrap-EAF,10.748965685296387,28.97079906357254
NGFS_NetZero2050,2040,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2040,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2040,HyREX,0.0,0.0
NGFS_NetZero2050,2041,BF-BOF,12.617244958969499,34.177103337458014
NGFS_NetZero2050,2041,BF-BOF+CCUS,13.500000000000313,36.568275923635355
NGFS_NetZero2050,2041,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2041,Scrap-EAF,10.799999999999637,29.254620738906624
NGFS_NetZero2050,2041,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2041,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2041,HyREX,0.0,0.0
NGFS_NetZero2050,2042,BF-BOF,12.432658734174218,33.84633501251944
NGFS_NetZero2050,2042,BF-BOF+CCUS,13.499999999999854,36.7520361041549
NGFS_NetZero2050,2042,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2042,Scrap-EAF,10.800000000000527,29.401628883325664
NGFS_NetZero2050,2042,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2042,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2042,HyREX,0.0,0.0
NGFS_NetZero2050,2043,BF-BOF,10.359364879862637,28.343774582604137
NGFS_NetZero2050,2043,BF-BOF+CCUS,17.999999999999854,49.24895960355779
NGFS_NetZero2050,2043,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2043,Scrap-EAF,8.189630560641225,22.407265813838073
NGFS_NetZero2050,2043,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2043,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2043,HyREX,0.0,0.0
NGFS_NetZero2050,2044,BF-BOF,9.500113510008791,26.12343419785819
NGFS_NetZero2050,2044,BF-BOF+CCUS,17.999999999999854,49.49644181262087
NGFS_NetZero2050,2044,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2044,Scrap-EAF,8.866136953292568,24.380123989520936
NGFS_NetZero2050,2044,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2044,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2044,HyREX,0.0,0.0
NGFS_NetZero2050,2045,BF-BOF,8.640612942458716,23.879374412718608
NGFS_NetZero2050,2045,BF-BOF+CCUS,17.999999999999854,49.74516765087526
NGFS_NetZero2050,2045,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2045,Scrap-EAF,9.54380626852613,26.375457936406132
NGFS_NetZero2050,2045,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2045,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2045,HyREX,0.0,0.0
NGFS_NetZero2050,2046,BF-BOF,7.780864423200969,21.611412909037718
NGFS_NetZero2050,2046,BF-BOF+CCUS,18.0,49.99514336771415
NGFS_NetZero2050,2046,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2046,Scrap-EAF,10.222632691728869,28.393443723248136
NGFS_NetZero2050,2046,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2046,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2046,HyREX,0.0,0.0
NGFS_NetZero2050,2047,BF-BOF,7.023479629355116,19.60579960970572
NGFS_NetZero2050,2047,BF-BOF+CCUS,18.0,50.246375243933905
NGFS_NetZero2050,2047,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2047,Scrap-EAF,10.800000000000011,30.147825146360375
NGFS_NetZero2050,2047,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2047,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2047,HyREX,0.0,0.0
NGFS_NetZero2050,2048,BF-BOF,6.060628482397725,17.003049298750966
NGFS_NetZero2050,2048,BF-BOF+CCUS,18.0,50.49886959189338
NGFS_NetZero2050,2048,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2048,Scrap-EAF,11.583733748810623,32.49808110935566
NGFS_NetZero2050,2048,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2048,H2-DRI-EAF,0.0,0.0
